"REF_DATE","GEO","DGUID","Age (13B)","Knowledge of official languages (5)","Statistics (6A)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","1.1.1.1","36620955","","","","0"
"2021","Canada","2021A000011124","Total - Age","English only","2021 Counts","","0","units","0","","1.1.2.1","25261655","","","","0"
"2021","Canada","2021A000011124","Total - Age","French only","2021 Counts","","0","units","0","","1.1.3.1","4087890","","","","0"
"2021","Canada","2021A000011124","Total - Age","English and French","2021 Counts","","0","units","0","","1.1.4.1","6581680","","","","0"
"2021","Canada","2021A000011124","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","1.1.5.1","689730","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","2.1.1.1","504810","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","English only","2021 Counts","","0","units","0","","2.1.2.1","477900","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","French only","2021 Counts","","0","units","0","","2.1.3.1","125","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","English and French","2021 Counts","","0","units","0","","2.1.4.1","25945","","","","0"
"2021","Newfoundland and Labrador","2021A000210","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","2.1.5.1","835","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","3.1.1.1","152455","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","English only","2021 Counts","","0","units","0","","3.1.2.1","131465","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","French only","2021 Counts","","0","units","0","","3.1.3.1","135","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","English and French","2021 Counts","","0","units","0","","3.1.4.1","19380","","","","0"
"2021","Prince Edward Island","2021A000211","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","3.1.5.1","1475","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","4.1.1.1","958990","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","English only","2021 Counts","","0","units","0","","4.1.2.1","856205","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","French only","2021 Counts","","0","units","0","","4.1.3.1","600","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","English and French","2021 Counts","","0","units","0","","4.1.4.1","98940","","","","0"
"2021","Nova Scotia","2021A000212","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","4.1.5.1","3245","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","5.1.1.1","764630","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","English only","2021 Counts","","0","units","0","","5.1.2.1","442430","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","French only","2021 Counts","","0","units","0","","5.1.3.1","60175","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","English and French","2021 Counts","","0","units","0","","5.1.4.1","260125","","","","0"
"2021","New Brunswick","2021A000213","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","5.1.5.1","1900","","","","0"
"2021","Quebec","2021A000224","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","6.1.1.1","8406905","","","","0"
"2021","Quebec","2021A000224","Total - Age","English only","2021 Counts","","0","units","0","","6.1.2.1","445575","","","","0"
"2021","Quebec","2021A000224","Total - Age","French only","2021 Counts","","0","units","0","","6.1.3.1","3980280","","","","0"
"2021","Quebec","2021A000224","Total - Age","English and French","2021 Counts","","0","units","0","","6.1.4.1","3898980","","","","0"
"2021","Quebec","2021A000224","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","6.1.5.1","82075","","","","0"
"2021","Ontario","2021A000235","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","7.1.1.1","14099790","","","","0"
"2021","Ontario","2021A000235","Total - Age","English only","2021 Counts","","0","units","0","","7.1.2.1","12196575","","","","0"
"2021","Ontario","2021A000235","Total - Age","French only","2021 Counts","","0","units","0","","7.1.3.1","39310","","","","0"
"2021","Ontario","2021A000235","Total - Age","English and French","2021 Counts","","0","units","0","","7.1.4.1","1519365","","","","0"
"2021","Ontario","2021A000235","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","7.1.5.1","344540","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","8.1.1.1","1326815","","","","0"
"2021","Manitoba","2021A000246","Total - Age","English only","2021 Counts","","0","units","0","","8.1.2.1","1197535","","","","0"
"2021","Manitoba","2021A000246","Total - Age","French only","2021 Counts","","0","units","0","","8.1.3.1","1685","","","","0"
"2021","Manitoba","2021A000246","Total - Age","English and French","2021 Counts","","0","units","0","","8.1.4.1","110435","","","","0"
"2021","Manitoba","2021A000246","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","8.1.5.1","17165","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","9.1.1.1","1116045","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","English only","2021 Counts","","0","units","0","","9.1.2.1","1055000","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","French only","2021 Counts","","0","units","0","","9.1.3.1","445","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","English and French","2021 Counts","","0","units","0","","9.1.4.1","51970","","","","0"
"2021","Saskatchewan","2021A000247","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","9.1.5.1","8625","","","","0"
"2021","Alberta","2021A000248","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","10.1.1.1","4221835","","","","0"
"2021","Alberta","2021A000248","Total - Age","English only","2021 Counts","","0","units","0","","10.1.2.1","3894690","","","","0"
"2021","Alberta","2021A000248","Total - Age","French only","2021 Counts","","0","units","0","","10.1.3.1","3105","","","","0"
"2021","Alberta","2021A000248","Total - Age","English and French","2021 Counts","","0","units","0","","10.1.4.1","258330","","","","0"
"2021","Alberta","2021A000248","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","10.1.5.1","65710","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","11.1.1.1","4951660","","","","0"
"2021","British Columbia","2021A000259","Total - Age","English only","2021 Counts","","0","units","0","","11.1.2.1","4461290","","","","0"
"2021","British Columbia","2021A000259","Total - Age","French only","2021 Counts","","0","units","0","","11.1.3.1","1780","","","","0"
"2021","British Columbia","2021A000259","Total - Age","English and French","2021 Counts","","0","units","0","","11.1.4.1","326865","","","","0"
"2021","British Columbia","2021A000259","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","11.1.5.1","161715","","","","0"
"2021","Yukon","2021A000260","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","12.1.1.1","39840","","","","0"
"2021","Yukon","2021A000260","Total - Age","English only","2021 Counts","","0","units","0","","12.1.2.1","33950","","","","0"
"2021","Yukon","2021A000260","Total - Age","French only","2021 Counts","","0","units","0","","12.1.3.1","85","","","","0"
"2021","Yukon","2021A000260","Total - Age","English and French","2021 Counts","","0","units","0","","12.1.4.1","5660","","","","0"
"2021","Yukon","2021A000260","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","12.1.5.1","145","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","13.1.1.1","40545","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","English only","2021 Counts","","0","units","0","","13.1.2.1","35940","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","French only","2021 Counts","","0","units","0","","13.1.3.1","100","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","English and French","2021 Counts","","0","units","0","","13.1.4.1","4295","","","","0"
"2021","Northwest Territories","2021A000261","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","13.1.5.1","215","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Total - Knowledge of official languages","2021 Counts","","0","units","0","","14.1.1.1","36640","","","","0"
"2021","Nunavut","2021A000262","Total - Age","English only","2021 Counts","","0","units","0","","14.1.2.1","33100","","","","0"
"2021","Nunavut","2021A000262","Total - Age","French only","2021 Counts","","0","units","0","","14.1.3.1","60","","","","0"
"2021","Nunavut","2021A000262","Total - Age","English and French","2021 Counts","","0","units","0","","14.1.4.1","1390","","","","0"
"2021","Nunavut","2021A000262","Total - Age","Neither English nor French","2021 Counts","","0","units","0","","14.1.5.1","2085","","","","0"


